Repository Name,Account / Owner,Full Name,Description,Visibility,Created At,Updated At,Pushed At,Primary Language,Size (KB),Stars,Forks,Is Fork,Parent Repository,GitHub URL,Homepage URL,Connections,Connection Count,Is Cloned,Local Paths,Local Sources,Local Status,Is Out Of Sync,Sync Status
Horizon_AI_Bidding_Project,Local Only,local/Horizon_AI_Bidding_Project,"歡迎來到 **AI原生大型文件工程** (AIDE, AI-Native Document Engineering) 的全新專案工作台。",LOCAL_ONLY,2026-06-25T10:09:03.564101Z,2026-05-30T20:04:38.504286Z,,HTML,120,0,0,No,,,,,0,Yes,~/Google_Antigravity/Horizon_AI_Bidding_Project,A,Local Folder,No,local_only
ai-audit-01,falo-taiwan,falo-taiwan/ai-audit-01,TAAT/FALO AI Audit research pack index and governance research materials,PUBLIC,2026-05-26T09:28:20Z,2026-05-27T07:44:50Z,2026-05-27T07:44:46Z,HTML,21336,0,0,No,,https://github.com/falo-taiwan/ai-audit-01,https://falo-taiwan.github.io/ai-audit-01/,,0,Yes,~/AI-CodeX/taat-audit,C,Cloned,Yes,local_newer
ai-ocr-vision-benchmark,falo-taiwan,falo-taiwan/ai-ocr-vision-benchmark,Nine-grid AI Vision/OCR benchmark teaching demo by Falo X Force Cheng,PUBLIC,2026-05-18T06:22:56Z,2026-05-21T16:15:39Z,2026-05-21T16:12:40Z,HTML,97,0,0,No,,https://github.com/falo-taiwan/ai-ocr-vision-benchmark,https://falo-taiwan.github.io/ai-ocr-vision-benchmark/,falo-chinese,1,No,,,Remote Only,No,remote_only
aiocr-pro01,falo-taiwan,falo-taiwan/aiocr-pro01,FALO Pro01 AI OCR runtime with Pro01B Gemini dual-route default,PUBLIC,2026-05-21T15:52:11Z,2026-05-21T15:55:16Z,2026-05-21T15:52:14Z,HTML,149,0,0,No,,https://github.com/falo-taiwan/aiocr-pro01,https://falo-taiwan.github.io/aiocr-pro01/,falo-chinese,1,No,,,Remote Only,No,remote_only
aiocr-pro01,falo-chinese,falo-chinese/aiocr-pro01,Pro01 local-first AI OCR proposal reconciliation lab,PUBLIC,2026-05-17T19:40:50Z,2026-05-21T15:54:32Z,2026-05-21T15:49:54Z,HTML,123360,0,0,No,,https://github.com/falo-chinese/aiocr-pro01,https://falo-chinese.github.io/aiocr-pro01/,falo-taiwan,1,Yes,~/AI-CodeX/AI_Teach_Classroom,C,Cloned,Yes,local_newer
ai-ocr-classroom,falo-taiwan,falo-taiwan/ai-ocr-classroom,AI OCR classroom SVG seating map teaching demo,PUBLIC,2026-05-21T10:42:10Z,2026-05-21T12:58:10Z,2026-05-21T12:58:06Z,HTML,126,0,0,No,,https://github.com/falo-taiwan/ai-ocr-classroom,https://falo-taiwan.github.io/ai-ocr-classroom/,,0,No,,,Remote Only,No,remote_only
gemini35-ocr,falo-chinese,falo-chinese/gemini35-ocr,Falo x Force Cheng Gemini OCR guide with model calling examples and A4 image strategy,PUBLIC,2026-05-21T12:34:34Z,2026-05-21T12:36:05Z,2026-05-21T12:36:00Z,HTML,14,0,0,No,,https://github.com/falo-chinese/gemini35-ocr,https://falo-chinese.github.io/gemini35-ocr/,falo-taiwan,1,No,,,Remote Only,No,remote_only
gemini35-ocr,falo-taiwan,falo-taiwan/gemini35-ocr,Falo x Force Cheng Gemini 3.5 OCR guide with model calling examples and A4 image strategy,PUBLIC,2026-05-21T12:26:26Z,2026-05-21T12:27:55Z,2026-05-21T12:27:51Z,HTML,14,0,0,No,,https://github.com/falo-taiwan/gemini35-ocr,https://falo-taiwan.github.io/gemini35-ocr/,falo-chinese,1,No,,,Remote Only,No,remote_only
ai-firewall,falo-taiwan,falo-taiwan/ai-firewall,FALO AI Firewall / Mesh registry dashboard,PUBLIC,2026-05-21T01:52:39Z,2026-05-21T02:44:32Z,2026-05-21T02:44:29Z,HTML,7,0,0,No,,https://github.com/falo-taiwan/ai-firewall,https://falo-taiwan.github.io/ai-firewall/,,0,No,,,Remote Only,No,remote_only
aiap,Local Only,local/aiap,Local project folder,LOCAL_ONLY,2026-06-25T10:09:03.745630Z,2026-05-20T21:54:58.456535Z,,HTML,298,0,0,No,,,,,0,Yes,~/Google_Antigravity/aiap,A,Local Folder,No,local_only
ai-notebooklm,falo-chinese,falo-chinese/ai-notebooklm,這是一個教學型 MVP，示範如何把 NotebookLM 上傳流程從「個人腳本」整理成可操作、可觀察、可治理的 local-first runtime。,PUBLIC,2026-05-19T09:52:46Z,2026-05-19T10:09:58Z,2026-05-19T10:09:55Z,HTML,190448,0,0,No,,https://github.com/falo-chinese/ai-notebooklm,https://falo-chinese.github.io/ai-notebooklm/,falo-taiwan,1,Yes,~/AI-CodeX/ai-notebooklm,C,Cloned,Yes,local_newer
42001-dictionary,falo-taiwan,falo-taiwan/42001-dictionary,FALOer ISO 42001 dictionary and AI governance reference mini database,PUBLIC,2026-05-18T08:22:22Z,2026-05-18T08:23:28Z,2026-05-18T08:23:15Z,HTML,93,0,0,No,,https://github.com/falo-taiwan/42001-dictionary,https://falo-taiwan.github.io/42001-dictionary/,,0,No,,,Remote Only,No,remote_only
ai-ocr-vision-benchmark,falo-chinese,falo-chinese/ai-ocr-vision-benchmark,"FALO AI OCR/Vision benchmark teaching demo with controllable grid, interference tests, weighted decisions, and AI feedback logs.",PUBLIC,2026-05-18T05:16:11Z,2026-05-18T07:23:20Z,2026-05-18T07:23:16Z,HTML,3417,0,0,No,,https://github.com/falo-chinese/ai-ocr-vision-benchmark,https://falo-chinese.github.io/ai-ocr-vision-benchmark/,falo-taiwan,1,Yes,~/AI-CodeX/ocr_study,C,Cloned,Yes,local_newer
ai-mesh-pic,falo-taiwan,falo-taiwan/ai-mesh-pic,Falo AI Mesh 圖片中轉站 v1.01,PUBLIC,2026-05-17T14:45:37Z,2026-05-17T14:48:34Z,2026-05-17T14:46:56Z,HTML,44,0,0,No,,https://github.com/falo-taiwan/ai-mesh-pic,https://falo-taiwan.github.io/ai-mesh-pic/,falo-chinese,1,No,,,Remote Only,No,remote_only
ai-mesh-pic,falo-chinese,falo-chinese/ai-mesh-pic,Falo AI Mesh 圖片中轉站 v1.01,PUBLIC,2026-05-17T13:48:47Z,2026-05-17T13:51:33Z,2026-05-17T13:49:52Z,HTML,44,0,0,No,,https://github.com/falo-chinese/ai-mesh-pic,https://falo-chinese.github.io/ai-mesh-pic/,falo-taiwan,1,No,,,Remote Only,No,remote_only
ai-runtime-method,falo-taiwan,falo-taiwan/ai-runtime-method,FALO AI Runtime Development Method public concept and teaching methodology,PUBLIC,2026-05-16T05:18:33Z,2026-05-16T05:19:29Z,2026-05-16T05:19:25Z,HTML,1596,0,0,No,,https://github.com/falo-taiwan/ai-runtime-method,https://falo-taiwan.github.io/ai-runtime-method/,falo-chinese,1,No,,,Remote Only,No,remote_only
ai-runtime-method,falo-chinese,falo-chinese/ai-runtime-method,FALO AI Runtime Development Method public concept and teaching methodology,PUBLIC,2026-05-16T04:57:35Z,2026-05-16T04:58:43Z,2026-05-16T04:58:39Z,HTML,1596,0,0,No,,https://github.com/falo-chinese/ai-runtime-method,https://falo-chinese.github.io/ai-runtime-method/,falo-taiwan,1,No,,,Remote Only,No,remote_only
index,falo-taiwan,falo-taiwan/index,Force / FALOer GitHub repo functional portal,PUBLIC,2026-05-06T15:50:46Z,2026-05-11T15:34:17Z,2026-05-11T15:21:38Z,HTML,111,0,0,No,,https://github.com/falo-taiwan/index,https://falo-taiwan.github.io/index/,,0,No,,,Remote Only,No,remote_only
.github,falo-chinese,falo-chinese/.github,Organization profile for falo-chinese,PUBLIC,2026-05-09T09:52:12Z,2026-05-09T09:55:27Z,2026-05-09T09:55:23Z,HTML,0,0,0,No,,https://github.com/falo-chinese/.github,https://falo-chinese.github.io/.github/,,0,No,,,Remote Only,No,remote_only
news,falo-taiwan,falo-taiwan/news,FALO Taiwan news and AI update pages,PUBLIC,2026-05-09T06:41:09Z,2026-05-09T06:41:51Z,2026-05-09T06:41:47Z,HTML,2233,0,0,No,,https://github.com/falo-taiwan/news,https://falo-taiwan.github.io/news/,,0,No,,,Remote Only,No,remote_only
modelbox,falo-taiwan,falo-taiwan/modelbox,Falo ModelBox public pages and registry v0.11,PUBLIC,2026-05-06T14:33:09Z,2026-05-06T17:01:01Z,2026-05-06T17:00:58Z,HTML,377,0,0,No,,https://github.com/falo-taiwan/modelbox,https://falo-taiwan.github.io/modelbox/,,0,No,,,Remote Only,No,remote_only
superpowers,falo-taiwan,falo-taiwan/superpowers,,PUBLIC,2026-05-04T13:46:55Z,2026-05-04T14:21:26Z,2026-05-04T14:18:13Z,HTML,39,0,0,No,,https://github.com/falo-taiwan/superpowers,https://falo-taiwan.github.io/superpowers/,,0,No,,,Remote Only,No,remote_only
milkwise,falo-taiwan,falo-taiwan/milkwise,,PUBLIC,2026-04-25T03:47:36Z,2026-04-25T04:25:33Z,2026-04-25T04:25:28Z,HTML,1886,0,0,No,,https://github.com/falo-taiwan/milkwise,https://falo-taiwan.github.io/milkwise/,,0,No,,,Remote Only,No,remote_only
dpx,falo-taiwan,falo-taiwan/dpx,,PUBLIC,2026-04-16T03:01:52Z,2026-04-16T03:06:16Z,2026-04-16T03:03:37Z,HTML,31,0,0,No,,https://github.com/falo-taiwan/dpx,https://falo-taiwan.github.io/dpx/,,0,No,,,Remote Only,No,remote_only
class-20260413,falo-taiwan,falo-taiwan/class-20260413,,PUBLIC,2026-04-12T13:54:13Z,2026-04-12T14:00:37Z,2026-04-12T14:00:31Z,HTML,9049,0,0,No,,https://github.com/falo-taiwan/class-20260413,https://falo-taiwan.github.io/class-20260413/,,0,No,,,Remote Only,No,remote_only
km,falo-taiwan,falo-taiwan/km,,PUBLIC,2026-04-08T10:39:19Z,2026-04-10T13:05:41Z,2026-04-10T13:05:38Z,HTML,53,0,0,No,,https://github.com/falo-taiwan/km,https://falo-taiwan.github.io/km/,,0,No,,,Remote Only,No,remote_only
gas-api-key-test-console,falo-taiwan,falo-taiwan/gas-api-key-test-console,,PUBLIC,2026-04-07T13:14:08Z,2026-04-07T13:19:33Z,2026-04-07T13:19:29Z,HTML,113,0,0,No,,https://github.com/falo-taiwan/gas-api-key-test-console,https://falo-taiwan.github.io/gas-api-key-test-console/,,0,No,,,Remote Only,No,remote_only
agent,falo-taiwan,falo-taiwan/agent,,PUBLIC,2026-04-01T12:45:24Z,2026-04-01T12:45:51Z,2026-04-01T12:45:46Z,HTML,15,0,0,No,,https://github.com/falo-taiwan/agent,https://falo-taiwan.github.io/agent/,,0,No,,,Remote Only,No,remote_only
ai-adoption-playbook,falo-taiwan,falo-taiwan/ai-adoption-playbook,,PUBLIC,2026-03-31T01:43:11Z,2026-03-31T01:44:05Z,2026-03-31T01:44:02Z,HTML,8,0,0,No,,https://github.com/falo-taiwan/ai-adoption-playbook,https://falo-taiwan.github.io/ai-adoption-playbook/,,0,No,,,Remote Only,No,remote_only
force,falo-taiwan,falo-taiwan/force,,PUBLIC,2026-03-03T08:04:45Z,2026-03-27T16:11:35Z,2026-03-27T16:11:31Z,HTML,1131,0,0,No,,https://github.com/falo-taiwan/force,https://falo-taiwan.github.io/force/,,0,No,,,Remote Only,No,remote_only
shortlink,falo-taiwan,falo-taiwan/shortlink,,PUBLIC,2026-03-27T09:13:21Z,2026-03-27T16:10:38Z,2026-03-27T16:10:35Z,HTML,1270,0,0,No,,https://github.com/falo-taiwan/shortlink,https://falo-taiwan.github.io/shortlink/,,0,No,,,Remote Only,No,remote_only
qrcode,falo-taiwan,falo-taiwan/qrcode,,PUBLIC,2026-03-27T04:43:34Z,2026-03-27T05:02:12Z,2026-03-27T05:02:08Z,HTML,59,0,0,No,,https://github.com/falo-taiwan/qrcode,https://falo-taiwan.github.io/qrcode/,,0,No,,,Remote Only,No,remote_only
aios,falo-taiwan,falo-taiwan/aios,,PUBLIC,2026-03-18T14:10:46Z,2026-03-18T14:19:55Z,2026-03-18T14:19:34Z,HTML,19,0,0,No,,https://github.com/falo-taiwan/aios,https://falo-taiwan.github.io/aios/,,0,No,,,Remote Only,No,remote_only
taiwan-ai-landscape,falo-taiwan,falo-taiwan/taiwan-ai-landscape,,PUBLIC,2026-03-13T08:51:33Z,2026-03-13T08:53:39Z,2026-03-13T08:53:36Z,HTML,16,0,0,No,,https://github.com/falo-taiwan/taiwan-ai-landscape,https://falo-taiwan.github.io/taiwan-ai-landscape/,,0,No,,,Remote Only,No,remote_only
falo,falo-taiwan,falo-taiwan/falo,,PUBLIC,2026-03-11T07:13:27Z,2026-03-11T07:14:25Z,2026-03-11T07:14:22Z,HTML,17,0,0,No,,https://github.com/falo-taiwan/falo,https://falo-taiwan.github.io/falo/,,0,No,,,Remote Only,No,remote_only
faloer,falo-taiwan,falo-taiwan/faloer,,PUBLIC,2026-03-11T05:33:08Z,2026-03-11T05:34:20Z,2026-03-11T05:34:17Z,HTML,27,0,0,No,,https://github.com/falo-taiwan/faloer,https://falo-taiwan.github.io/faloer/,,0,Yes,~/Google_Antigravity/Faloer,A,Cloned,Yes,local_newer
survey,falo-taiwan,falo-taiwan/survey,,PUBLIC,2026-03-10T15:06:21Z,2026-03-10T15:21:43Z,2026-03-10T15:21:39Z,HTML,28,0,0,No,,https://github.com/falo-taiwan/survey,https://falo-taiwan.github.io/survey/,,0,No,,,Remote Only,No,remote_only
service,falo-taiwan,falo-taiwan/service,,PUBLIC,2026-03-04T06:11:46Z,2026-03-04T06:15:48Z,2026-03-04T06:12:49Z,HTML,15,0,0,No,,https://github.com/falo-taiwan/service,https://falo-taiwan.github.io/service/,,0,No,,,Remote Only,No,remote_only
temp,falo-taiwan,falo-taiwan/temp,,PUBLIC,2026-03-01T12:12:04Z,2026-03-01T12:13:26Z,2026-03-01T12:13:23Z,HTML,11,0,0,No,,https://github.com/falo-taiwan/temp,https://falo-taiwan.github.io/temp/,,0,No,,,Remote Only,No,remote_only
